model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_weighted_train,f1_weighted_test,roc_auc_ovr_weighted_train,roc_auc_ovr_weighted_test,precision_train,precision_test,accuracy_train,accuracy_test
KNN,0.9784061123671985,1.0,0.8509567187198765,1.0,0.8416522385686502,1.0,0.9820333052373273,1.0,0.8651195022317053,1.0,0.8516746411483254
AdaBoost,0.863849573854873,0.35191592058544846,0.3410931174089069,0.26710732039139923,0.25930335561813583,0.867844179862623,0.8642039535209995,0.22585699871017131,0.22960812581676532,0.36069502696225286,0.34688995215311
RF,0.996214373696883,1.0,0.9379602853287062,1.0,0.9408151686939613,1.0,0.9964711984362911,1.0,0.9431441882845982,1.0,0.9401913875598086
